C1_Sun Insolation;C2_Environmental Temperature;C3_Wind Velocity;C4_Shadows;C5_Wind Turbines;C6_Photovoltaics;C7_Diesel Generator;C8_Batteries;C9_Load;C10_Dilivered Power
0,22;0,31;0,5;0,5;0,71;0,59;0,48;0,71;0,5;0
0,488751898;0,514371041;0,562176501;0,562176501;0,644511554;0,617617992;0,52105005;0,636035953;0,562176501;0,566822837
0,517518135;0,544317242;0,569813003;0,569813003;0,643846952;0,655189632;0,529348495;0,641642222;0,569813003;0,633198327
0,520517731;0,548446317;0,570748705;0,570748705;0,644610919;0,663233245;0,529462613;0,644368295;0,570748705;0,642405141
0,520819647;0,548992472;0,570863323;0,570863323;0,644801296;0,664557867;0,529219281;0,644967521;0,570863323;0,643811831
0,520848453;0,549062335;0,570877362;0,570877362;0,644835697;0,664752532;0,529141596;0,645073984;0,570877362;0,644030423
