C1_Sun Insolation,C2_Environmental Temperature,C3_Wind Velocity,C4_Shadows,C5_Wind Turbines,C6_Photovoltaics,C7_Diesel Generator,C8_Batteries,C9_Load,C10_Dilivered Power
0.22,0.31,0.5,0.5,0.71,0.59,0.48,0.71,0.5,0
0.4888,0.5144,0.5622,0.5622,0.6445,0.6176,0.5211,0.636,0.5622,0.5668
0.5175,0.5443,0.5698,0.5698,0.6438,0.6552,0.5293,0.6416,0.5698,0.6332
0.5205,0.5484,0.5707,0.5707,0.6446,0.6632,0.5295,0.6444,0.5707,0.6424
0.5208,0.549,0.5709,0.5709,0.6448,0.6646,0.5292,0.645,0.5709,0.6438
0.5208,0.5491,0.5709,0.5709,0.6448,0.6648,0.5291,0.6451,0.5709,0.644
